"logTP","year"
1.38629436111989,"1995"
1.38629436111989,"1995"
1.38629436111989,"1995"
1.38629436111989,"1996"
1.6094379124341,"1994"
1.6094379124341,"1995"
1.6094379124341,"1995"
1.6094379124341,"1995"
1.6094379124341,"1996"
1.6094379124341,"1997"
1.6094379124341,"1998"
1.6094379124341,"1999"
1.6094379124341,"1999"
1.79175946922805,"1994"
1.79175946922805,"1994"
1.79175946922805,"1995"
1.79175946922805,"1995"
1.79175946922805,"1995"
1.79175946922805,"1996"
1.79175946922805,"1996"
1.79175946922805,"1997"
1.79175946922805,"1997"
1.79175946922805,"1998"
1.79175946922805,"1998"
1.79175946922805,"1998"
1.79175946922805,"1998"
1.79175946922805,"1998"
1.79175946922805,"1998"
1.94591014905531,"1995"
1.94591014905531,"1995"
1.94591014905531,"1995"
1.94591014905531,"1995"
1.94591014905531,"1996"
1.94591014905531,"1996"
1.94591014905531,"1996"
1.94591014905531,"1996"
1.94591014905531,"1997"
1.94591014905531,"1997"
1.94591014905531,"1997"
1.94591014905531,"1997"
1.94591014905531,"1998"
1.94591014905531,"1998"
1.94591014905531,"1998"
1.94591014905531,"1998"
1.94591014905531,"1999"
1.94591014905531,"1999"
2.07944154167984,"1995"
2.07944154167984,"1995"
2.07944154167984,"1995"
2.07944154167984,"1995"
2.07944154167984,"1996"
2.07944154167984,"1996"
2.07944154167984,"1997"
2.07944154167984,"1998"
2.07944154167984,"1998"
2.07944154167984,"1999"
2.07944154167984,"1999"
2.07944154167984,"1999"
2.19722457733622,"1998"
2.19722457733622,"1999"
2.30258509299405,"1994"
2.30258509299405,"1994"
2.30258509299405,"1994"
2.30258509299405,"1994"
2.30258509299405,"1995"
2.30258509299405,"1996"
2.30258509299405,"1996"
2.30258509299405,"1997"
2.30258509299405,"1998"
2.30258509299405,"1998"
2.30258509299405,"1999"
2.39789527279837,"1996"
2.39789527279837,"1997"
2.39789527279837,"1998"
2.39789527279837,"1998"
2.484906649788,"1995"
2.484906649788,"1995"
2.484906649788,"1997"
2.77258872223978,"1999"
2.99573227355399,"1994"
2.99573227355399,"1999"
3.13549421592915,"1996"
3.43398720448515,"1997"
3.46573590279973,"1998"
1.38629436111989,"1995"
1.38629436111989,"1999"
1.6094379124341,"1995"
1.6094379124341,"1995"
1.6094379124341,"1995"
1.6094379124341,"1996"
1.79175946922805,"1994"
1.79175946922805,"1998"
1.94591014905531,"1994"
1.94591014905531,"1995"
1.94591014905531,"1995"
1.94591014905531,"1995"
1.94591014905531,"1995"
1.94591014905531,"1995"
1.94591014905531,"1995"
1.94591014905531,"1995"
1.94591014905531,"1996"
1.94591014905531,"1996"
1.94591014905531,"1997"
1.94591014905531,"1997"
1.94591014905531,"1998"
2.07944154167984,"1994"
2.07944154167984,"1995"
2.07944154167984,"1996"
2.07944154167984,"1996"
2.07944154167984,"1996"
2.07944154167984,"1996"
2.07944154167984,"1996"
2.07944154167984,"1997"
2.07944154167984,"1997"
2.07944154167984,"1997"
2.07944154167984,"1998"
2.07944154167984,"1998"
2.07944154167984,"1998"
2.07944154167984,"1999"
2.07944154167984,"1999"
2.19722457733622,"1994"
2.19722457733622,"1994"
2.19722457733622,"1994"
2.19722457733622,"1996"
2.19722457733622,"1997"
2.19722457733622,"1997"
2.19722457733622,"1997"
2.19722457733622,"1998"
2.19722457733622,"1998"
2.19722457733622,"1998"
2.19722457733622,"1998"
2.19722457733622,"1999"
2.30258509299405,"1995"
2.30258509299405,"1996"
2.30258509299405,"1997"
2.30258509299405,"1998"
2.30258509299405,"1998"
2.30258509299405,"1998"
2.30258509299405,"1998"
2.39789527279837,"1994"
2.39789527279837,"1994"
2.39789527279837,"1996"
2.39789527279837,"1998"
2.39789527279837,"1998"
2.39789527279837,"1999"
2.484906649788,"1994"
2.484906649788,"1994"
2.484906649788,"1995"
2.484906649788,"1996"
2.484906649788,"1997"
2.484906649788,"1998"
2.484906649788,"1999"
2.484906649788,"1999"
2.56494935746154,"1995"
2.56494935746154,"1995"
2.56494935746154,"1997"
2.63905732961526,"1995"
2.63905732961526,"1996"
2.70805020110221,"1997"
2.70805020110221,"1998"
2.83321334405622,"1998"
2.89037175789616,"1994"
2.94443897916644,"1995"
2.94443897916644,"1999"
2.99573227355399,"1999"
3.09104245335832,"1999"
3.17805383034795,"1996"
3.17805383034795,"1998"
3.36729582998647,"1996"
3.95124371858143,"1997"
1.38629436111989,"1995"
1.38629436111989,"1995"
1.38629436111989,"1995"
1.6094379124341,"1994"
1.6094379124341,"1994"
1.6094379124341,"1995"
1.6094379124341,"1995"
1.6094379124341,"1995"
1.6094379124341,"1995"
1.6094379124341,"1995"
1.6094379124341,"1995"
1.6094379124341,"1995"
1.6094379124341,"1996"
1.6094379124341,"1997"
1.6094379124341,"1998"
1.6094379124341,"1998"
1.6094379124341,"1998"
1.6094379124341,"1999"
1.79175946922805,"1994"
1.79175946922805,"1995"
1.79175946922805,"1995"
1.79175946922805,"1995"
1.79175946922805,"1995"
1.79175946922805,"1996"
1.79175946922805,"1996"
1.79175946922805,"1996"
1.79175946922805,"1996"
1.79175946922805,"1998"
1.79175946922805,"1998"
1.79175946922805,"1998"
1.79175946922805,"1998"
1.79175946922805,"1999"
1.79175946922805,"1999"
1.79175946922805,"1999"
1.94591014905531,"1994"
1.94591014905531,"1995"
1.94591014905531,"1995"
1.94591014905531,"1995"
1.94591014905531,"1996"
1.94591014905531,"1996"
1.94591014905531,"1996"
1.94591014905531,"1997"
1.94591014905531,"1997"
1.94591014905531,"1997"
1.94591014905531,"1997"
